fiscal_year,contracting_agency_name,sum
FY2016Q1,BUREAU OF OCEAN ENERGY MANAGEMENT,4754287.949999999
FY2016Q1,BUREAU OF THE FISCAL SERVICE,0.0
FY2016Q1,BUSINESS TRANSFORMATION AGENCY,7742.57
FY2016Q1,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),396065662.04999995
FY2016Q1,DEFENSE COMMISSARY AGENCY  (DECA),40304932.09000001
FY2016Q1,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),47892489.41999996
FY2016Q1,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,1977117.9
FY2016Q1,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),49624689.03000001
FY2016Q1,DEFENSE HEALTH AGENCY (DHA),2994150118.16
FY2016Q1,DEFENSE HUMAN RESOURCES ACTIVITY,14736075.3
FY2016Q1,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1336198656.3299994
FY2016Q1,DEFENSE LOGISTICS AGENCY,23161552515.309597
FY2016Q1,DEFENSE MEDIA ACTIVITY (DMA),7225385.289999999
FY2016Q1,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),60062488.88999999
FY2016Q1,DEFENSE SECURITY COOPERATION AGENCY,28215516.15
FY2016Q1,DEFENSE THREAT REDUCTION AGENCY (DTRA),143046031.91
FY2016Q1,DEPARTMENTAL OFFICES,38467969.09
FY2016Q1,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),47277669.88999999
FY2016Q1,DEPT OF THE AIR FORCE,24169194026.969994
FY2016Q1,DEPT OF THE ARMY,30933558138.869934
FY2016Q1,DEPT OF THE NAVY,37148916742.540016
FY2016Q1,"ENERGY, DEPARTMENT OF",598061441.1500001
FY2016Q1,FEDERAL ACQUISITION SERVICE,378465727.19000053
FY2016Q1,FEDERAL PRISON SYSTEM,2972859.24
FY2016Q1,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,300000.0
FY2016Q1,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,8745000.0
FY2016Q1,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,14440187.74
FY2016Q1,MARITIME ADMINISTRATION,119901052.17999998
FY2016Q1,MISSILE DEFENSE AGENCY (MDA),2579657619.3399997
FY2016Q1,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,19690377.87
FY2016Q1,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),4404000.0
FY2016Q1,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,0.0
FY2016Q1,"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",65436615.87
FY2016Q1,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),9625188.26
FY2016Q1,PUBLIC BUILDINGS SERVICE,1519227.1800000002
FY2016Q1,"STATE, DEPARTMENT OF",9126858.93
FY2016Q1,TRICARE MANAGEMENT ACTIVITY (TMA),11203546.500000002
FY2016Q1,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),2336880.96
FY2016Q1,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,351000.0
FY2016Q1,U.S. FISH AND WILDLIFE SERVICE,-113910.07
FY2016Q1,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),335466535.4599999
FY2016Q1,USTRANSCOM,1696395868.64
FY2016Q1,"VETERANS AFFAIRS, DEPARTMENT OF",4657443.43
FY2016Q1,VIRGINIA CONTRACTING AGENCY,2582985.0
FY2016Q1,WASHINGTON HEADQUARTERS SERVICES (WHS),42747220.53999999
FY2016Q2,BUREAU OF OCEAN ENERGY MANAGEMENT,1688096.0999999999
FY2016Q2,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),293985441.0
FY2016Q2,DEFENSE COMMISSARY AGENCY  (DECA),89344945.64000002
FY2016Q2,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),101158508.48000014
FY2016Q2,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,8638375.77
FY2016Q2,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),73096177.46999998
FY2016Q2,DEFENSE HEALTH AGENCY (DHA),3925293830.01
FY2016Q2,DEFENSE HUMAN RESOURCES ACTIVITY,36878076.31
FY2016Q2,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),4026137810.59
FY2016Q2,DEFENSE LOGISTICS AGENCY,7035590763.87019
FY2016Q2,DEFENSE MEDIA ACTIVITY (DMA),14069674.110000003
FY2016Q2,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),129263895.31
FY2016Q2,DEFENSE SECURITY COOPERATION AGENCY,10027146.3
FY2016Q2,DEFENSE THREAT REDUCTION AGENCY (DTRA),861600547.2099998
FY2016Q2,DEPARTMENTAL OFFICES,239543693.76
FY2016Q2,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),80453686.84999998
FY2016Q2,DEPT OF THE AIR FORCE,21940939181.430008
FY2016Q2,DEPT OF THE ARMY,51378900667.54946
FY2016Q2,DEPT OF THE NAVY,63007822634.94998
FY2016Q2,"ENERGY, DEPARTMENT OF",563286888.89
FY2016Q2,FEDERAL ACQUISITION SERVICE,991449637.2500012
FY2016Q2,FEDERAL PRISON SYSTEM,16439366.03
FY2016Q2,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,33038216.630000003
FY2016Q2,MARITIME ADMINISTRATION,112012262.07000002
FY2016Q2,MISSILE DEFENSE AGENCY (MDA),2115044976.3300002
FY2016Q2,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,54186686.06
FY2016Q2,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),1376534.0
FY2016Q2,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,74115.0
FY2016Q2,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,366666.64
FY2016Q2,"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",130926584.07
FY2016Q2,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),47908829.78
FY2016Q2,PUBLIC BUILDINGS SERVICE,9545816.0
FY2016Q2,"STATE, DEPARTMENT OF",2919614.340000001
FY2016Q2,TRICARE MANAGEMENT ACTIVITY (TMA),14634112.879999999
FY2016Q2,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),310727.53000000014
FY2016Q2,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),929320204.7000003
FY2016Q2,USTRANSCOM,387966481.6000001
FY2016Q2,"VETERANS AFFAIRS, DEPARTMENT OF",206774.19999999998
FY2016Q2,VIRGINIA CONTRACTING AGENCY,2075087.0
FY2016Q2,WASHINGTON HEADQUARTERS SERVICES (WHS),37255861.56
FY2016Q3,BUREAU OF OCEAN ENERGY MANAGEMENT,345242.93
FY2016Q3,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),226043262.57
FY2016Q3,DEFENSE COMMISSARY AGENCY  (DECA),118634658.16000009
FY2016Q3,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),46634893.38000006
FY2016Q3,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,43091729.98
FY2016Q3,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),36132440.480000004
FY2016Q3,DEFENSE HEALTH AGENCY (DHA),1789757893.2399998
FY2016Q3,DEFENSE HUMAN RESOURCES ACTIVITY,20397135.770000003
FY2016Q3,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1437880023.3900008
FY2016Q3,DEFENSE LOGISTICS AGENCY,8740582660.429882
FY2016Q3,DEFENSE MEDIA ACTIVITY (DMA),19121967.04
FY2016Q3,DEFENSE MICROELECTRONICS ACTIVITY (DMEA),150111531.64000002
FY2016Q3,DEFENSE SECURITY COOPERATION AGENCY,13022960.440000001
FY2016Q3,DEFENSE THREAT REDUCTION AGENCY (DTRA),176902206.10000002
FY2016Q3,DEPARTMENTAL OFFICES,91064663.36999997
FY2016Q3,DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA),62247659.04000001
FY2016Q3,DEPT OF THE AIR FORCE,24120724666.90996
FY2016Q3,DEPT OF THE ARMY,26623206146.209984
FY2016Q3,DEPT OF THE NAVY,17179072110.420013
FY2016Q3,"ENERGY, DEPARTMENT OF",319575347.66
FY2016Q3,FEDERAL ACQUISITION SERVICE,1137187173.5499997
FY2016Q3,FEDERAL PRISON SYSTEM,14462.19
FY2016Q3,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,10089809.33
FY2016Q3,JOINT IMPROVISED EXPLOSIVE DEVICE DEFEAT ORGANIZATION (JIEDDO) ,12790905.75
FY2016Q3,MARITIME ADMINISTRATION,37673332.89
FY2016Q3,MISSILE DEFENSE AGENCY (MDA),1540691529.9900002
FY2016Q3,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,17768064.09
FY2016Q3,NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY (NGA),262613.0
FY2016Q3,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,0.0
FY2016Q3,NATIONAL INSTITUTES OF HEALTH,1228776.37
FY2016Q3,"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",4337207.16
FY2016Q3,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION (ASA),541995124.32
FY2016Q3,PUBLIC BUILDINGS SERVICE,6346426.26
FY2016Q3,"STATE, DEPARTMENT OF",4040752.2599999993
FY2016Q3,TRICARE MANAGEMENT ACTIVITY (TMA),396604.81000000006
FY2016Q3,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS),25599093.030000005
FY2016Q3,U.S. COAST GUARD,2662.83
FY2016Q3,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),1123431542.8700001
FY2016Q3,USTRANSCOM,391998118.63
FY2016Q3,"VETERANS AFFAIRS, DEPARTMENT OF",2870832.92
FY2016Q3,VIRGINIA CONTRACTING AGENCY,8480322.0
FY2016Q3,WASHINGTON HEADQUARTERS SERVICES (WHS),102942402.34
FY2016Q4,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),253562060.95999998
FY2016Q4,DEFENSE COMMISSARY AGENCY  (DECA),98232656.72
FY2016Q4,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),-106164100.63000004
FY2016Q4,DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY,41727060.95
FY2016Q4,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),61936446.56999999
FY2016Q4,DEFENSE HEALTH AGENCY (DHA),2039344801.57
FY2016Q4,DEFENSE HUMAN RESOURCES ACTIVITY,32746869.54
FY2016Q4,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),1533556520.0200007
FY2016Q4,DEFENSE LOGISTICS AGENCY,7602969718.930037
FY2016Q4,DEFENSE MEDIA ACTIVITY (DMA),34924922.050000004
