fiscal_year,contracting_agency_name,contracting_office_name,dollars_obligated,funding_office_name,psc_description,psc,vendor_name
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,26732.31,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4393.91,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,15096.64,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,9649.03,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,15119.97,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1756.65,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,5849.87,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7018.3,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2558.67,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,4572.99,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,351.01,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,5748.29,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,10946.04,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,7590.67,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,1550.56,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2659.7,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2448.68,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,16251.58,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,16740.76,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,2972.97,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
FY2016Q3,DEFENSE LOGISTICS AGENCY,DLA TROOP SUPPORT,5283.9,DLA TROOP SUPPORT,DRUGS AND BIOLOGICALS,6505,AMERISOURCEBERGEN DRUG CORPORATION
